Trial No.,Arena No.,Rep,Species,Treatment,Location of Treatment,Location of Treatment,Distance moved (cm),Velocity (cm/s),Frequency of entering Kernel Zone 2,Cumulative Duration in Kernel Zone 2 (s),Latency to First Entrance of Kernel Zone 2 (s),Frequency of entering Kernel Zone 1,Cumulative Duration in Kernel Zone 1 (s),Latency to First Entrance of Kernel Zone 1 (s),Frequency of entering  Zone 2,Cumulative Duration in Zone 2 (s),Latency to First Entrance of Zone 2 (s),Frequency of entering  Zone 1,Cumulative Duration in Zone 1 (s),Latency to First Entrance of Zone 1 (s),Movement,Turn angle
Trial    22,Arena 5,17,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,364.133,0.265573,4,5.16662,55.2661,12,18.5665,71.7326,79,412.896,41.9996,197,1090.89,0.033333,1448.89,168.146
Trial     5,Arena 5,1,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,372.64,0.207636,1,2.9333,17.6998,0,0,-,17,1022.49,2.13331,11,775.559,0,1773.02,-
Trial    12,Arena 1,7,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,379.183,0.273465,1,0.633327,635.76,0,0,-,21,925.924,0,13,463.062,30.5997,1363.79,-
Trial    14,Arena 1,9,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,390.942,0.252234,0,0,-,3,56.7328,107.566,36,785.292,0,29,770.959,86.0991,1528.75,-
Trial     8,Arena 4,3,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,392.844,0.220499,0,0,-,1,2.26664,1650.25,16,352.663,37.133,14,1430.65,0,1757.62,-
Trial    11,Arena 5,6,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,406.766,0.227127,3,4.66662,571.361,7,43.9996,457.662,14,545.095,0,16,1247.85,46.7995,1767.22,176.392
Trial    18,Arena 5,13,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,409.016,0.291685,0,0,-,7,16.3332,29.033,35,577.294,0,173,870.458,2.8333,1399.85,178.619
Trial    12,Arena 4,7,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,450.29,0.250363,7,9.13324,833.425,3,4.69995,83.3992,17,337.863,14.9998,18,1462.19,0,1770.78,-
Trial    13,Arena 1,8,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,463.76,0.322948,2,0.433329,1211.79,3,4.59995,471.929,23,808.192,215.198,16,630.594,0,1408.65,172.073
Trial    14,Arena 4,9,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,470.963,0.266994,2,0.233331,35.2663,2,3.1333,35.0663,29,924.757,9.09991,18,843.325,0,1739.78,58.6161
Trial     8,Arena 5,3,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,477.144,0.457535,0,0,-,7,11.1332,4.46662,33,668.46,0,16,377.73,1.59998,1014.39,-
Trial    16,Arena 5,11,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,517.783,0.290349,4,58.6994,15.7998,10,16.8665,81.1659,40,1098.59,0,19,689.86,77.7992,1753.12,-
Trial    18,Arena 4,13,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,548.627,0.387525,1,1.93331,516.895,3,4.46662,301.397,82,616.994,0,77,817.758,22.0331,1394.92,179.028
Trial     8,Arena 2,3,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,558.107,0.315585,0,0,-,2,2.79997,1507.22,26,992.09,0,19,779.192,197.831,1734.62,-
Trial    13,Arena 2,8,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,568.348,0.434012,3,2.39998,666.993,3,5.39995,959.024,30,680.26,0,16,632.827,52.3995,1275.12,-
Trial    11,Arena 4,6,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,597.324,0.544099,1,0.133332,3.7333,9,16.2665,80.1992,58,649.993,0,20,455.229,76.7992,1065.92,151.62
Trial     5,Arena 4,1,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,848.292,0.508716,0,0,-,3,5.36661,695.226,31,860.191,27.3664,31,809.325,0,1614.18,-
Trial     7,Arena 4,2,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,851.793,0.473697,0,0,-,2,1.86665,386.296,28,794.992,15.9332,28,1005.06,0,1744.85,-
Trial    14,Arena 2,9,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,2887.14,1.66455,20,3.69996,62.2327,5,5.49994,101.999,148,939.057,46.0329,245,840.692,0,1686.45,137.817
Trial    19,Arena 2,14,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,3910.06,2.2614,2,2.79997,22.4331,1,2.99997,139.732,477,1682.62,0,481,49.7662,35.7996,1666.22,177.379
